Time stamp,TMR,RMS,Min,Max,didt,Power,Temp,OP
43:53.5,1,14.3,-19,20,-12,671,664,0.1
43:53.5,-11,14.3,-19,20,-12,671,665,0.1
43:53.5,-18,14.3,-19,20,-7,672,667,0.1
43:53.5,-19,14.3,-19,20,-1,671,668,0.1
43:53.5,-12,14.3,-19,20,7,671,668,0.1
43:53.5,-1,14.3,-19,20,11,672,667,0.1
43:53.5,12,14.3,-19,20,13,671,665,0.1
43:53.5,19,14.3,-19,20,7,671,664,0.1
43:53.5,20,14.3,-19,20,1,671,664,0.1
43:53.5,13,14.3,-19,20,-7,671,665,0.1
43:53.5,1,14.3,-19,20,-12,671,667,0.1
43:53.5,-10,14.3,-19,20,-11,671,668,0.1
43:53.5,-18,14.3,-19,20,-8,671,668,0.1
43:53.5,-19,14.3,-19,20,-1,671,667,0.1
43:53.5,-12,14.2,-19,20,7,671,665,0.1
43:53.5,-1,14.2,-19,20,11,671,664,0.1
43:53.5,12,14.2,-19,20,13,671,664,0.1
43:53.5,19,14.2,-19,20,7,671,665,0.1
43:53.5,20,14.2,-19,20,1,671,666,0.1
43:53.5,13,14.2,-19,20,-7,671,668,0.1
43:53.5,2,14.2,-19,20,-11,671,668,0.1
43:53.5,-11,14.2,-19,20,-13,671,667,0.1
43:53.5,-19,14.2,-19,20,-8,671,666,0.1
43:53.5,-19,14.2,-19,20,0,671,664,0.1
43:53.5,-12,14.4,-19,20,7,671,664,0.1
43:53.5,-1,14.4,-19,20,11,672,664,0.1
43:53.5,11,14.4,-19,20,12,671,665,0.1
43:53.5,19,14.4,-19,20,8,671,667,0.1
43:53.5,20,14.4,-19,20,1,671,668,0.1
43:53.5,13,14.4,-19,20,-7,671,668,0.1
43:53.5,1,14.4,-19,20,-12,671,667,0.1
43:53.5,-11,14.4,-19,20,-12,671,665,0.1
43:53.5,-18,14.4,-19,20,-7,671,664,0.1
44:00.6,-16,28.7,-40,41,-26,671,664,0.2
44:00.6,-34,28.7,-40,41,-18,671,664,0.2
44:00.6,-40,28.7,-40,41,-6,671,666,0.2
44:00.6,-30,28.7,-40,41,10,671,668,0.2
44:00.6,-9,28.7,-40,41,21,671,668,0.2
44:00.6,16,28.7,-40,41,25,671,668,0.2
44:00.6,35,28.7,-40,41,19,672,666,0.2
44:00.6,41,28.7,-40,41,6,671,664,0.2
44:00.6,31,28.7,-40,41,-10,671,664,0.2
44:00.6,9,28.7,-40,41,-22,671,664,0.2
44:00.6,-16,28.7,-40,41,-25,671,665,0.2
44:00.6,-34,28.7,-40,41,-18,672,667,0.2
44:00.6,-40,28.7,-40,41,-6,671,668,0.2
44:00.6,-30,28.7,-40,41,10,671,668,0.2
44:00.6,-9,28.7,-40,41,21,671,667,0.2
44:00.6,16,28.6,-40,41,25,671,665,0.2
44:00.6,35,28.6,-40,41,19,671,664,0.2
44:00.6,41,28.6,-40,41,6,671,664,0.2
44:00.6,31,28.6,-40,41,-10,672,665,0.2
44:00.6,9,28.6,-40,41,-22,671,667,0.2
44:00.6,-16,28.6,-40,41,-25,671,668,0.2
44:00.6,-34,28.6,-40,41,-18,672,668,0.2
44:00.6,-40,28.6,-40,41,-6,672,667,0.2
44:00.6,-30,28.6,-40,41,10,671,666,0.2
44:00.6,-8,28.6,-40,41,22,671,664,0.2
44:00.6,17,28.6,-40,41,25,671,664,0.2
44:00.6,35,28.6,-40,41,18,671,665,0.2
44:00.6,41,28.6,-40,41,6,671,666,0.2
44:00.6,31,28.6,-40,41,-10,671,668,0.2
44:00.6,9,28.6,-40,41,-22,671,668,0.2
44:00.6,-16,28.6,-40,41,-25,672,668,0.2
44:00.6,-35,28.6,-40,41,-19,671,666,0.2
44:00.6,-40,28.6,-40,41,-5,671,664,0.2
44:00.6,-30,28.6,-40,41,10,671,664,0.2
44:00.6,-9,28.6,-40,41,21,671,664,0.2
44:00.6,17,28.8,-40,41,26,671,665,0.2
44:00.6,35,28.8,-40,41,18,671,667,0.2
44:00.6,41,28.8,-40,41,6,671,668,0.2
44:00.6,31,28.8,-40,41,-10,671,668,0.2
44:00.6,9,28.8,-40,41,-22,671,667,0.2
44:00.6,-16,28.8,-40,41,-25,671,665,0.2
44:00.6,-35,28.8,-40,41,-19,671,664,0.2
44:00.6,-40,28.8,-40,41,-5,671,664,0.2
44:00.6,-30,28.8,-40,41,10,671,665,0.2
44:00.6,-8,28.8,-40,41,22,671,667,0.2
44:00.6,17,28.8,-40,41,25,671,668,0.2
44:00.6,36,28.8,-40,41,19,671,668,0.2
44:00.6,41,28.8,-40,41,5,671,667,0.2
44:00.6,31,28.8,-40,41,-10,671,666,0.2
44:00.6,9,28.8,-40,41,-22,671,664,0.2
44:00.6,-16,28.8,-40,41,-25,671,664,0.2
44:00.6,-35,28.8,-40,41,-19,671,664,0.2
44:00.7,-40,28.8,-40,41,-5,671,666,0.2
44:00.7,-30,28.8,-40,41,10,671,668,0.2
44:00.7,-8,28.8,-40,41,22,671,668,0.2
44:00.7,17,28.9,-40,41,25,671,668,0.2
44:00.7,35,28.9,-40,41,18,671,667,0.2
44:00.7,41,28.9,-40,41,6,671,665,0.2
44:00.7,31,28.9,-40,41,-10,672,664,0.2
44:00.7,9,28.9,-40,41,-22,671,664,0.2
44:00.7,-16,28.9,-40,41,-25,671,665,0.2
44:00.7,-35,28.9,-40,41,-19,672,667,0.2
44:00.7,-40,28.9,-40,41,-5,671,668,0.2
44:00.7,-30,28.9,-40,41,10,671,668,0.2
44:00.7,-8,28.9,-40,41,22,671,667,0.2
44:00.7,17,28.8,-40,41,25,671,665,0.2
44:00.7,36,28.8,-40,41,19,671,664,0.2
44:00.7,40,28.8,-40,41,4,671,664,0.2
44:00.7,31,28.8,-40,41,-9,671,665,0.2
44:00.7,8,28.8,-40,41,-23,671,667,0.2
44:00.7,-16,28.8,-40,41,-24,671,668,0.2
44:00.7,-35,28.8,-40,41,-19,671,668,0.2
44:00.7,-40,28.8,-40,41,-5,671,667,0.2
44:00.7,-29,28.8,-40,41,11,671,666,0.2
44:00.7,-8,28.8,-40,41,21,671,664,0.2
44:00.7,17,28.6,-40,40,25,671,664,0.2
44:00.7,36,28.6,-40,40,19,671,665,0.2
44:00.7,41,28.6,-40,40,5,671,666,0.2
44:00.7,31,28.6,-40,40,-10,671,667,0.2
44:00.7,9,28.6,-40,40,-22,671,668,0.2
44:00.7,-16,28.6,-40,40,-25,671,667,0.2
44:00.7,-35,28.6,-40,40,-19,671,666,0.2
44:00.7,-40,28.6,-40,40,-5,671,665,0.2
44:00.7,-30,28.6,-40,40,10,671,664,0.2
44:00.7,-8,28.6,-40,40,22,671,664,0.2
44:00.7,17,28.9,-40,41,25,671,665,0.2
44:00.7,36,28.9,-40,41,19,671,667,0.2
44:00.7,41,28.9,-40,41,5,671,668,0.2
44:00.7,31,28.9,-40,41,-10,671,668,0.2
44:00.7,9,28.9,-40,41,-22,671,667,0.2
44:00.7,-16,28.9,-40,41,-25,671,665,0.2
44:00.7,-35,28.9,-40,41,-19,671,664,0.2
44:00.7,-40,28.9,-40,41,-5,671,664,0.2
44:00.7,-29,28.9,-40,41,11,671,665,0.2
44:00.7,-8,28.9,-40,41,21,671,667,0.2
44:00.7,17,28.8,-40,41,25,671,668,0.2
44:00.7,36,28.8,-40,41,19,671,668,0.2
44:00.7,41,28.8,-40,41,5,672,667,0.2
44:00.7,30,28.8,-40,41,-11,671,665,0.2
44:00.7,8,28.8,-40,41,-22,671,664,0.2
44:07.8,-26,72.1,-101,102,-62,672,665,0.5
44:07.8,-80,72.1,-101,102,-54,671,666,0.5
44:07.8,-102,72.1,-101,102,-22,671,668,0.5
44:07.8,-85,72.1,-101,102,17,671,668,0.5
44:07.8,-35,72.1,-101,102,50,671,667,0.5
44:07.8,27,72.1,-101,102,62,671,666,0.5
44:07.8,80,72.1,-101,102,53,671,664,0.5
